,gwl,abbrevs,names,min,median,max
0,GWL1.2,WANorth,Western Australia North,11.1,16.5,25.8
1,GWL1.2,WASouth,Western Australia South,9.2,16.0,27.5
2,GWL1.2,NSW,New South Wales and Australian Capital Territory,7.3,15.1,22.1
3,GWL1.2,VIC,Victoria,7.1,16.2,22.6
4,GWL1.2,SA,South Australia,9.1,14.9,18.4
5,GWL1.2,TAS,Tasmania,9.7,16.7,22.7
6,GWL1.2,NT,Northern Territory,10.4,15.4,20.1
7,GWL1.2,QLDNorth,Queensland North,11.1,15.3,18.8
8,GWL1.2,QLDSouth,Queensland South,11.7,14.7,19.1
9,GWL1.2,AUS,Australia,12.1,15.6,18.8
10,GWL1.5,WANorth,Western Australia North,8.2,17.7,29.6
11,GWL1.5,WASouth,Western Australia South,11.2,16.4,31.8
12,GWL1.5,NSW,New South Wales and Australian Capital Territory,5.3,17.1,26.6
13,GWL1.5,VIC,Victoria,6.1,19.9,23.8
14,GWL1.5,SA,South Australia,7.2,16.0,24.6
15,GWL1.5,TAS,Tasmania,7.9,17.3,24.0
16,GWL1.5,NT,Northern Territory,8.0,16.6,26.2
17,GWL1.5,QLDNorth,Queensland North,11.4,16.0,21.1
18,GWL1.5,QLDSouth,Queensland South,10.2,15.9,22.3
19,GWL1.5,AUS,Australia,10.9,16.8,24.3
20,GWL2.0,WANorth,Western Australia North,9.5,16.6,38.8
21,GWL2.0,WASouth,Western Australia South,11.1,18.3,39.8
22,GWL2.0,NSW,New South Wales and Australian Capital Territory,3.9,16.8,30.1
23,GWL2.0,VIC,Victoria,4.3,21.2,31.4
24,GWL2.0,SA,South Australia,5.6,17.7,28.1
25,GWL2.0,TAS,Tasmania,7.2,20.1,28.3
26,GWL2.0,NT,Northern Territory,7.6,15.8,35.0
27,GWL2.0,QLDNorth,Queensland North,11.9,15.6,31.8
28,GWL2.0,QLDSouth,Queensland South,10.3,15.4,30.4
29,GWL2.0,AUS,Australia,9.8,16.9,30.8
30,GWL3.0,WANorth,Western Australia North,9.4,16.3,45.6
31,GWL3.0,WASouth,Western Australia South,15.1,20.4,42.6
32,GWL3.0,NSW,New South Wales and Australian Capital Territory,4.6,16.4,34.2
33,GWL3.0,VIC,Victoria,7.2,26.4,44.2
34,GWL3.0,SA,South Australia,7.8,17.2,38.6
35,GWL3.0,TAS,Tasmania,10.0,21.0,34.8
36,GWL3.0,NT,Northern Territory,9.7,13.9,34.5
37,GWL3.0,QLDNorth,Queensland North,11.2,15.2,30.9
38,GWL3.0,QLDSouth,Queensland South,8.1,14.6,30.0
39,GWL3.0,AUS,Australia,12.2,16.6,34.1
