,gwl,abbrevs,names,min,median,max
0,GWL12,WANorth,Western Australia North,,,
1,GWL12,WASouth,Western Australia South,0.6,1.0,1.4
2,GWL12,NSW,New South Wales and Australian Capital Territory,0.9,1.1,1.3
3,GWL12,VIC,Victoria,1.0,1.5,2.0
4,GWL12,SA,South Australia,0.6,0.8,1.2
5,GWL12,TAS,Tasmania,1.4,2.2,2.9
6,GWL12,NT,Northern Territory,,,
7,GWL12,QLDNorth,Queensland North,,,
8,GWL12,QLDSouth,Queensland South,0.5,0.7,0.9
9,GWL12,AUS,Australia,0.8,1.0,1.3
10,GWL15,WANorth,Western Australia North,,,
11,GWL15,WASouth,Western Australia South,0.5,1.0,1.3
12,GWL15,NSW,New South Wales and Australian Capital Territory,0.9,1.0,1.2
13,GWL15,VIC,Victoria,1.0,1.4,2.0
14,GWL15,SA,South Australia,0.5,0.7,1.0
15,GWL15,TAS,Tasmania,1.2,1.9,2.9
16,GWL15,NT,Northern Territory,,,
17,GWL15,QLDNorth,Queensland North,,,
18,GWL15,QLDSouth,Queensland South,0.5,0.6,0.8
19,GWL15,AUS,Australia,0.7,1.0,1.2
20,GWL20,WANorth,Western Australia North,,,
21,GWL20,WASouth,Western Australia South,0.4,0.9,1.3
22,GWL20,NSW,New South Wales and Australian Capital Territory,0.7,1.0,1.3
23,GWL20,VIC,Victoria,0.8,1.3,1.7
24,GWL20,SA,South Australia,0.5,0.7,0.9
25,GWL20,TAS,Tasmania,1.1,1.9,2.5
26,GWL20,NT,Northern Territory,,,
27,GWL20,QLDNorth,Queensland North,,,
28,GWL20,QLDSouth,Queensland South,0.4,0.6,0.9
29,GWL20,AUS,Australia,0.6,1.0,1.2
30,GWL30,WANorth,Western Australia North,,,
31,GWL30,WASouth,Western Australia South,0.4,0.9,1.2
32,GWL30,NSW,New South Wales and Australian Capital Territory,0.6,0.9,1.2
33,GWL30,VIC,Victoria,0.7,1.3,1.9
34,GWL30,SA,South Australia,0.4,0.7,0.9
35,GWL30,TAS,Tasmania,0.9,1.7,2.6
36,GWL30,NT,Northern Territory,,,
37,GWL30,QLDNorth,Queensland North,,,
38,GWL30,QLDSouth,Queensland South,0.3,0.7,0.8
39,GWL30,AUS,Australia,0.6,0.9,1.1
